Date,Open,High,Low,Close,Adj Close,Volume
2017-08-01,435.970001,435.970001,430.359985,430.399994,322.155762,4200
2017-08-02,430.399994,430.399994,427.000000,427.519989,320.000061,6800
2017-08-03,421.250000,422.130005,419.049988,421.209991,318.442657,3400
2017-08-04,421.029999,423.429993,418.429993,418.429993,316.340912,3400
2017-08-07,415.239990,422.459991,415.149994,422.459991,319.387695,6600
2017-08-08,422.000000,423.149994,422.000000,423.149994,319.909302,4100
2017-08-09,419.299988,420.149994,418.000000,418.000000,316.015808,4200
2017-08-10,417.339996,419.000000,414.660004,415.049988,313.785614,4800
2017-08-11,414.000000,414.000000,410.589996,410.619995,310.436401,4400
2017-08-14,413.130005,417.529999,413.010010,415.130005,313.846069,8400
2017-08-15,417.660004,417.660004,410.100006,411.179993,310.859772,7400
2017-08-16,417.399994,417.399994,412.589996,412.589996,311.925781,6000
2017-08-17,411.750000,415.329987,409.119995,411.630005,311.200012,7200
2017-08-18,410.339996,411.850006,409.559998,409.559998,309.635071,4900
2017-08-21,408.630005,413.420013,408.630005,409.470001,309.567047,2900
2017-08-22,410.589996,411.950012,410.589996,411.899994,311.404114,2100
2017-08-23,415.500000,420.299988,411.000000,417.899994,315.940247,8300
2017-08-24,418.040009,424.000000,410.029999,410.149994,310.081085,10400
2017-08-25,411.220001,414.940002,411.200012,413.410004,312.545776,6000
2017-08-28,417.600006,417.600006,412.040009,413.019989,312.250854,8600
2017-08-29,413.540009,415.000000,411.309998,413.220001,312.402069,5200
2017-08-30,413.649994,417.260010,411.959991,413.119995,312.326508,11600
2017-08-31,413.510010,421.000000,413.510010,418.690002,316.537537,13000
2017-09-01,418.619995,422.149994,417.450012,417.709991,315.796600,6500
2017-09-05,417.170013,421.010010,417.170013,418.809998,316.628174,4500
2017-09-06,425.010010,426.510010,421.899994,422.359985,319.312103,8100
2017-09-07,422.480011,424.970001,422.480011,422.619995,319.508636,3500
2017-09-08,423.089996,423.649994,422.059998,422.500000,319.417908,3200
2017-09-11,422.109985,429.000000,422.109985,427.899994,323.500458,3900
2017-09-12,426.899994,430.989990,426.660004,426.660004,322.563019,11600
2017-09-13,424.899994,428.649994,422.609985,422.609985,319.501038,7000
2017-09-14,423.000000,427.429993,423.000000,426.720001,322.608307,5600
2017-09-15,427.119995,432.049988,425.790009,425.790009,321.905243,19900
2017-09-18,428.450012,428.450012,426.000000,426.329987,322.313507,4400
2017-09-19,426.510010,427.809998,420.739990,421.100006,318.359558,8200
2017-09-20,420.660004,423.489990,420.209991,422.459991,319.387695,4700
2017-09-21,421.809998,422.559998,416.329987,417.200012,315.411041,9600
2017-09-22,417.160004,421.790009,417.160004,421.070007,318.336853,4100
2017-09-25,424.250000,425.489990,419.390015,423.880005,320.461243,7600
2017-09-26,422.529999,426.829987,422.529999,426.829987,322.691498,2700
2017-09-27,428.309998,432.309998,425.200012,426.279999,322.275696,9900
2017-09-28,427.589996,431.760010,426.059998,428.450012,323.916229,5600
2017-09-29,428.500000,428.500000,421.970001,424.089996,320.619934,5900
2017-10-02,424.850006,426.000000,424.000000,425.589996,321.754028,6900
2017-10-03,425.869995,431.000000,425.869995,430.829987,325.715576,5600
2017-10-04,430.529999,430.529999,429.750000,430.500000,325.466125,3000
2017-10-05,430.510010,431.790009,428.059998,429.899994,325.012482,5900
2017-10-06,430.260010,430.260010,429.140015,429.140015,324.437897,2300
2017-10-09,428.989990,428.989990,427.899994,428.019989,323.591125,1900
2017-10-10,430.309998,430.309998,427.549988,430.299988,325.314911,6000
2017-10-11,429.799988,430.510010,429.739990,429.799988,324.936920,5500
2017-10-12,429.660004,430.820007,429.299988,430.000000,325.088104,7500
2017-10-13,430.000000,430.470001,428.019989,428.839996,324.211060,9500
2017-10-16,429.000000,431.109985,429.000000,430.000000,325.088104,4200
2017-10-17,429.679993,430.399994,429.679993,429.989990,325.080444,4200
2017-10-18,430.510010,430.510010,427.739990,427.739990,323.379456,4300
2017-10-19,430.000000,431.579987,424.179993,425.589996,321.754028,4700
2017-10-20,426.859985,426.859985,420.920013,422.149994,319.153290,4900
2017-10-23,420.209991,420.209991,417.260010,419.390015,317.066711,10800
2017-10-24,419.019989,419.019989,417.170013,417.170013,315.388367,3300
2017-10-25,416.619995,418.320007,414.809998,417.500000,315.637817,6800
2017-10-26,415.200012,415.200012,414.359985,414.359985,313.263947,2000
2017-10-27,414.720001,418.440002,414.720001,417.269989,315.463959,4300
2017-10-30,414.959991,415.760010,413.790009,413.790009,312.832947,2400
2017-10-31,436.799988,436.799988,407.000000,411.000000,310.723724,10300
2017-11-01,411.079987,415.369995,407.119995,408.579987,308.894165,10100
2017-11-02,409.299988,414.220001,408.029999,410.690002,310.489349,4500
2017-11-03,407.480011,407.859985,405.149994,405.700012,309.924072,4200
2017-11-06,405.339996,406.600006,404.000000,405.079987,309.450378,5600
2017-11-07,404.730011,410.459991,404.010010,404.950012,309.351105,10200
2017-11-08,404.279999,408.790009,404.279999,405.290009,309.610870,21600
2017-11-09,404.510010,405.839996,404.000000,404.809998,309.244110,4000
